"Time","co2"
2021-08-18 13:36:01,469.11
2021-08-18 13:36:07,468.87
2021-08-18 13:40:18,478.92
2021-08-18 13:40:22,478.95
2021-08-18 15:38:14,456.26
2021-08-18 15:38:17,456.43
2021-08-18 15:38:19,456.16
2021-08-18 15:52:47,454.64
2021-08-18 15:53:42,435.38
2021-08-18 15:56:18,438.80
2021-08-18 15:56:22,437.06
2021-08-18 15:56:24,436.93
2021-08-18 15:56:26,436.60
2021-08-23 13:36:13,478.46
2021-08-23 13:38:05,497.81
2021-08-23 13:38:15,499.85
2021-08-23 13:38:26,504.51
2021-08-23 13:38:37,509.33
2021-08-23 13:38:49,507.20
2021-08-23 13:38:59,509.60
2021-08-23 13:39:09,508.43
2021-08-23 13:39:20,510.91
2021-08-23 13:39:31,513.10
2021-08-23 13:39:43,513.62
2021-08-23 13:39:54,513.98
2021-08-23 13:40:04,515.87
2021-08-23 13:40:15,519.84
2021-08-23 13:40:27,527.55
2021-08-23 13:40:37,526.90
2021-08-23 13:40:48,521.93
2021-08-23 13:40:59,528.19
2021-08-23 13:41:11,529.35
2021-08-23 13:41:22,530.27
2021-08-23 13:41:33,527.74
2021-08-23 13:41:45,531.75
2021-08-23 13:41:54,531.80
2021-08-23 13:42:05,532.43
2021-08-23 13:42:16,533.68
2021-08-23 13:42:29,535.24
2021-08-23 13:42:38,539.27
2021-08-23 13:42:51,534.61
2021-08-23 13:43:01,539.17
2021-08-23 13:43:12,537.32
2021-08-23 13:43:22,534.58
2021-08-23 13:43:33,537.79
2021-08-23 13:43:45,539.50
2021-08-23 13:43:55,538.46
2021-08-23 13:44:07,535.55
2021-08-23 13:44:20,535.40
2021-08-23 13:44:29,537.90
2021-08-23 13:44:42,540.99
2021-08-23 13:44:51,541.15
2021-08-23 13:45:02,542.15
2021-08-23 13:45:14,540.87
2021-08-23 13:45:24,540.56
2021-08-23 13:45:36,540.47
2021-08-23 13:45:49,539.36
2021-08-23 13:46:00,539.51
2021-08-23 13:46:08,541.55
2021-08-23 13:46:20,529.33
2021-08-23 13:46:34,524.29
2021-08-23 13:46:40,536.50
2021-08-23 13:46:52,543.78
2021-08-23 13:47:03,539.60
2021-08-23 13:47:16,539.62
2021-08-23 13:47:25,529.60
2021-08-23 13:47:36,531.93
2021-08-23 13:47:46,534.02
2021-08-23 13:47:58,539.38
2021-08-23 13:48:10,540.97
2021-08-23 13:48:22,543.88
2021-08-23 13:48:31,543.12
2021-08-23 13:48:41,542.26
2021-08-23 13:48:53,543.80
2021-08-23 13:49:04,544.36
2021-08-23 13:49:15,547.86
2021-08-23 13:49:29,545.76
2021-08-23 13:49:42,541.82
2021-08-23 13:49:49,540.04
2021-08-23 13:50:00,538.64
2021-08-23 15:52:33,579.61
2021-08-23 15:52:36,581.00
