sep=;
"Series";"Time";"Value"
"Raspi_03";"2021-10-01T11:20:53+02:00";541.6010131835938
"Raspi_03";"2021-10-01T11:20:54+02:00";541.766845703125
"Raspi_03";"2021-10-01T11:20:56+02:00";541.579833984375
"Raspi_03";"2021-10-01T11:20:58+02:00";541.4349975585938
"Raspi_03";"2021-10-01T11:21:00+02:00";541.3095703125
"Raspi_03";"2021-10-01T11:21:03+02:00";541.1069946289062
"Raspi_03";"2021-10-01T11:21:05+02:00";540.9954223632812
"Raspi_03";"2021-10-01T11:21:07+02:00";541.4692993164062
"Raspi_03";"2021-10-01T11:21:09+02:00";541.5319213867188
"Raspi_03";"2021-10-01T11:21:11+02:00";541.9382934570312
"Raspi_03";"2021-10-01T11:21:13+02:00";542.116943359375
"Raspi_03";"2021-10-01T11:21:15+02:00";541.777587890625
"Raspi_03";"2021-10-01T11:21:17+02:00";541.91552734375
"Raspi_03";"2021-10-01T11:21:19+02:00";542.0126342773438
"Raspi_03";"2021-10-01T11:21:21+02:00";542.2068481445312
"Raspi_03";"2021-10-01T11:21:24+02:00";541.9938354492188
"Raspi_03";"2021-10-01T11:21:26+02:00";542.0055541992188
"Raspi_03";"2021-10-01T11:21:28+02:00";542.009521484375
"Raspi_03";"2021-10-01T11:21:30+02:00";541.7369384765625
"Raspi_03";"2021-10-01T11:21:32+02:00";541.2849731445312
"Raspi_03";"2021-10-01T11:21:34+02:00";541.1532592773438
"Raspi_03";"2021-10-01T11:21:36+02:00";540.6905517578125
"Raspi_03";"2021-10-01T11:21:38+02:00";540.1801147460938
"Raspi_03";"2021-10-01T11:21:40+02:00";540.5205688476562
"Raspi_03";"2021-10-01T11:21:43+02:00";540.9778442382812
"Raspi_03";"2021-10-01T11:21:45+02:00";541.2252807617188
"Raspi_03";"2021-10-01T11:21:47+02:00";540.7428588867188
"Raspi_03";"2021-10-01T11:21:49+02:00";540.4444580078125
"Raspi_03";"2021-10-01T11:21:51+02:00";539.9944458007812
"Raspi_03";"2021-10-01T11:21:53+02:00";539.9505615234375
"Raspi_03";"2021-10-01T11:21:55+02:00";539.7461547851562
"Raspi_03";"2021-10-01T11:21:57+02:00";540.0436401367188
"Raspi_03";"2021-10-01T11:21:59+02:00";540.1541137695312
"Raspi_03";"2021-10-01T11:22:02+02:00";539.7640380859375
"Raspi_03";"2021-10-01T11:22:04+02:00";539.557373046875
"Raspi_03";"2021-10-01T11:22:06+02:00";539.2855834960938
"Raspi_03";"2021-10-01T11:22:08+02:00";538.8968505859375
"Raspi_03";"2021-10-01T11:22:10+02:00";538.5306396484375
"Raspi_03";"2021-10-01T11:22:12+02:00";538.2557983398438
"Raspi_03";"2021-10-01T11:22:14+02:00";538.3528442382812
"Raspi_03";"2021-10-01T11:22:16+02:00";538.5625610351562
"Raspi_03";"2021-10-01T11:22:18+02:00";538.4510498046875
"Raspi_03";"2021-10-01T11:22:21+02:00";538.4530639648438
"Raspi_03";"2021-10-01T11:22:23+02:00";538.3321533203125
"Raspi_03";"2021-10-01T11:22:25+02:00";538.0108032226562
"Raspi_03";"2021-10-01T11:22:27+02:00";537.7166137695312
"Raspi_03";"2021-10-01T11:22:29+02:00";537.8291625976562
